date,open,close,high,low,mid,ma7,ma30,pct_change,year_month,weekday
2025-09-19,1388.25,1397.23,1399.7,1387.74,1393.72,,,,2025-09,Friday
2025-09-22,1397.23,1391.2,1398.17,1390.45,1394.31,,,0.04233274976321866,2025-09,Monday
2025-09-23,1391.2,1394.46,1395.77,1389.85,1392.81,,,-0.10758009337952235,2025-09,Tuesday
2025-09-24,1394.46,1404.96,1405.6,1392.79,1399.195,,,0.4584257723594831,2025-09,Wednesday
2025-09-25,1404.95,1409.13,1411.55,1398.95,1405.25,,,0.4327488305775784,2025-09,Thursday
2025-09-26,1409.13,1409.68,1413.92,1408.36,1411.14,,,0.41914250133427977,2025-09,Friday
2025-09-29,1409.69,1400.03,1409.69,1398.58,1404.135,1400.08,,-0.49640716016837727,2025-09,Monday
2025-09-30,1400.03,1404.24,1405.44,1398.94,1402.19,1401.2900000000002,,-0.13851944435541164,2025-09,Tuesday
2025-10-01,1404.24,1402.83,1409.35,1400.99,1405.17,1402.8414285714284,,0.21252469351513703,2025-10,Wednesday
2025-10-02,1402.83,1406.02,1408.3,1399.5,1403.9,1404.4257142857143,,-0.0903805233530397,2025-10,Thursday
2025-10-03,1406.02,1407.58,1412.41,1404.68,1408.545,1405.7614285714285,,0.3308640216539649,2025-10,Friday
2025-10-06,1407.54,1410.67,1415.3,1407.54,1411.42,1406.642857142857,,0.20411133474613763,2025-10,Monday
2025-10-07,1410.67,1416.07,1416.61,1408.12,1412.365,1406.8178571428573,,0.06695384789785486,2025-10,Tuesday
2025-10-08,1416.07,1421.52,1427.76,1415.58,1421.67,1409.3228571428572,,0.6588240291992564,2025-10,Wednesday
2025-10-09,1421.52,1422.89,1426.7,1416.56,1421.63,1412.1000000000001,,-0.0028135924652006317,2025-10,Thursday
2025-10-10,1422.82,1429.56,1430.19,1418.56,1424.375,1414.8435714285715,,0.19308821563979173,2025-10,Friday
2025-10-13,1429.56,1426.5,1432.09,1423.91,1428.0,1418.2864285714288,,0.2544975866608068,2025-10,Monday
2025-10-14,1426.51,1428.77,1435.73,1425.6,1430.665,1421.4464285714287,,0.18662464985994554,2025-10,Tuesday
2025-10-15,1428.77,1421.39,1430.35,1418.99,1424.67,1423.3392857142858,,-0.4190359028843127,2025-10,Wednesday
2025-10-16,1421.41,1417.09,1421.94,1414.36,1418.15,1424.1657142857146,,-0.45764984171773326,2025-10,Thursday
2025-10-17,1417.07,1421.74,1425.73,1416.59,1421.16,1424.0928571428574,,0.2122483517258411,2025-10,Friday
2025-10-20,1421.74,1421.24,1424.13,1417.1,1420.615,1423.9478571428572,,-0.03834895437530017,2025-10,Monday
2025-10-21,1421.23,1431.27,1433.09,1419.71,1426.4,1424.2371428571428,,0.4072180006546411,2025-10,Tuesday
2025-10-22,1431.26,1432.01,1433.25,1427.78,1430.515,1424.5964285714285,,0.2884885025238315,2025-10,Wednesday
2025-10-23,1432.01,1436.82,1441.53,1431.18,1436.355,1425.409285714286,,0.4082445832444881,2025-10,Thursday
2025-10-24,1436.82,1439.02,1439.84,1433.64,1436.74,1427.1335714285717,,0.026803958631393954,2025-10,Friday
2025-10-27,1439.02,1429.71,1439.02,1428.85,1433.935,1429.3885714285714,,-0.19523365396661996,2025-10,Monday
2025-10-28,1429.69,1431.56,1438.96,1429.03,1433.995,1431.222142857143,,0.00418429008288701,2025-10,Tuesday
2025-10-29,1431.55,1426.26,1435.63,1419.51,1427.57,1432.2157142857143,,-0.4480489820396838,2025-10,Wednesday
2025-10-30,1426.26,1429.63,1435.11,1419.33,1427.22,1432.3328571428572,1416.9271666666668,-0.0245171865477678,2025-10,Thursday
2025-10-31,1429.67,1429.22,1431.18,1424.19,1427.685,1431.928571428571,1418.0593333333334,0.03258082145709551,2025-10,Friday
2025-11-03,1429.2,1429.96,1432.68,1425.9,1429.29,1430.9192857142857,1419.2253333333333,0.11241975645888136,2025-11,Monday
2025-11-04,1429.97,1443.79,1444.1,1429.97,1437.035,1430.9614285714285,1420.6995,0.5418774356498846,2025-11,Tuesday
2025-11-05,1443.79,1440.72,1449.62,1439.66,1444.64,1432.4907142857141,1422.2143333333333,0.5292146677011944,2025-11,Wednesday
2025-11-06,1440.73,1448.89,1452.53,1440.73,1446.63,1434.2957142857142,1423.5936666666669,0.13775058145975017,2025-11,Thursday
2025-11-07,1448.89,1455.99,1462.59,1447.65,1455.12,1438.2314285714285,1425.0596666666668,0.5868812343169827,2025-11,Friday
2025-11-10,1455.99,1456.6,1457.38,1450.71,1454.045,1442.0635714285713,1426.7233333333336,-0.07387706855790377,2025-11,Monday
2025-11-11,1456.6,1460.82,1467.32,1455.66,1461.49,1446.892857142857,1428.7,0.5120199168526351,2025-11,Tuesday
2025-11-12,1460.82,1469.37,1469.95,1460.44,1465.195,1452.0221428571429,1430.7008333333333,0.2535084058050252,2025-11,Wednesday
2025-11-13,1469.29,1470.7,1474.81,1462.66,1468.735,1456.5507142857143,1432.862,0.2416060660867636,2025-11,Thursday
2025-11-14,1470.7,1449.0,1473.78,1448.57,1461.175,1458.9128571428573,1434.6163333333336,-0.514728661058661,2025-11,Friday
2025-11-17,1449.44,1462.26,1463.03,1449.44,1456.235,1460.2849999999999,1436.1101666666666,-0.3380840761715742,2025-11,Monday
2025-11-18,1462.27,1459.38,1467.39,1459.0,1463.195,1461.4385714285713,1437.8045,0.47794483720005054,2025-11,Tuesday
2025-11-19,1459.38,1466.95,1470.12,1458.02,1464.07,1462.8707142857145,1439.2178333333334,0.05980064174631039,2025-11,Wednesday
2025-11-20,1466.96,1474.42,1476.17,1465.75,1470.96,1464.2235714285712,1440.8621666666668,0.47060591365166715,2025-11,Thursday
2025-11-21,1474.42,1469.75,1478.01,1468.92,1473.465,1465.405,1442.4985000000001,0.1702969489312922,2025-11,Friday
2025-11-24,1469.74,1474.64,1479.56,1469.74,1474.65,1466.25,1444.0535000000002,0.08042267715895335,2025-11,Monday
2025-11-25,1474.64,1464.86,1476.46,1463.68,1470.07,1467.5207142857141,1445.367,-0.3105821720408297,2025-11,Tuesday
2025-11-26,1464.92,1471.41,1475.92,1457.63,1466.775,1469.0264285714288,1446.7704999999999,-0.224138986578859,2025-11,Wednesday
2025-11-27,1471.42,1462.3,1472.25,1460.7,1466.475,1469.4950000000001,1448.3813333333335,-0.02045303471903681,2025-11,Thursday
2025-11-28,1462.18,1467.6,1476.43,1461.9,1469.165,1470.2228571428573,1449.9815,0.18343306227519562,2025-11,Friday
2025-12-01,1467.55,1471.34,1471.79,1464.8,1468.295,1469.842142857143,1451.5708333333334,-0.059217310513104415,2025-12,Monday
2025-12-02,1471.34,1468.41,1472.93,1466.51,1469.72,1469.3071428571427,1453.0148333333334,0.09705134186248632,2025-12,Tuesday
2025-12-03,1468.4,1466.08,1471.31,1463.25,1467.28,1468.2542857142857,1454.2403333333334,-0.1660180170372616,2025-12,Wednesday
2025-12-04,1466.08,1474.65,1474.69,1465.23,1469.96,1468.2385714285715,1455.3604999999998,0.1826508914454017,2025-12,Thursday
2025-12-05,1474.65,1473.79,1474.75,1467.87,1471.31,1468.8864285714287,1456.5128333333334,0.0918392337206475,2025-12,Friday
2025-12-08,1473.79,1469.57,1473.79,1465.72,1469.755,1469.355,1457.7068333333334,-0.10568812826663443,2025-12,Monday
2025-12-09,1469.57,1469.71,1472.43,1465.56,1468.995,1469.330714285714,1458.8735000000001,-0.05170929848853367,2025-12,Tuesday
2025-12-10,1469.7,1468.1,1472.45,1464.18,1468.315,1469.3335714285713,1460.2316666666666,-0.046290150749306314,2025-12,Wednesday
2025-12-11,1468.17,1471.24,1473.99,1464.5,1469.245,1469.2657142857145,1461.6325,0.06333790773775938,2025-12,Thursday
2025-12-12,1471.24,1474.57,1479.7,1470.9,1475.3,1470.4114285714284,1463.2196666666669,0.41211642714455987,2025-12,Friday
2025-12-15,1474.59,1469.22,1477.73,1462.71,1470.22,1470.4485714285713,1464.5839999999998,-0.3443367450687962,2025-12,Monday
2025-12-16,1469.18,1473.24,1477.26,1468.52,1472.89,1470.6742857142856,1465.7791666666667,0.18160547401069316,2025-12,Tuesday
2025-12-17,1473.21,1475.41,1482.17,1471.57,1476.87,1471.6907142857142,1466.8535,0.2702170562635331,2025-12,Wednesday
2025-12-18,1475.41,1475.56,1479.74,1471.82,1475.78,1472.66,1467.8251666666665,-0.07380473569101875,2025-12,Thursday
2025-12-19,1475.56,1475.76,1479.4,1474.85,1477.125,1473.9185714285716,1468.5586666666666,0.09113824553794725,2025-12,Friday
2025-12-22,1475.76,1479.47,1481.73,1475.76,1478.745,1475.2757142857142,1469.382,0.10967250571209952,2025-12,Monday
2025-12-23,1479.48,1480.01,1484.54,1477.93,1481.235,1476.1235714285715,1470.0401666666667,0.16838603004574182,2025-12,Tuesday
2025-12-24,1480.02,1444.51,1480.63,1443.75,1462.19,1474.9764285714286,1469.9399999999998,-1.2857514168919781,2025-12,Wednesday
2025-12-25,1444.51,1444.51,1444.51,1444.51,1444.51,1470.922142857143,1469.1325,-1.2091451863300962,2025-12,Thursday
2025-12-26,1444.73,1442.46,1452.95,1429.9,1441.425,1465.8585714285714,1468.4741666666666,-0.21356723041031644,2025-12,Friday
2025-12-29,1441.98,1435.05,1441.98,1429.71,1435.845,1460.1535714285715,1467.7945,-0.3871169155523102,2025-12,Monday
2025-12-30,1435.1,1438.39,1449.47,1430.72,1440.095,1454.8635714285715,1467.0244999999998,0.2959929518854709,2025-12,Tuesday
2025-12-31,1438.39,1444.55,1449.69,1438.39,1444.04,1449.905714285714,1466.356833333333,0.27394026088556345,2025-12,Wednesday
2026-01-01,1444.55,1444.55,1444.55,1444.55,1444.55,1444.6650000000002,1465.4765,0.03531758123043183,2026-01,Thursday
2026-01-02,1444.36,1442.62,1446.92,1440.12,1443.52,1441.9978571428571,1464.4783333333332,-0.0713024817417196,2026-01,Friday
2026-01-05,1442.61,1444.89,1449.96,1442.6,1446.28,1442.2507142857141,1463.5326666666667,0.19119929062292318,2026-01,Monday
2026-01-06,1444.89,1446.46,1449.3,1442.81,1446.055,1442.912142857143,1462.7321666666664,-0.015557153524903278,2026-01,Tuesday
2026-01-07,1446.52,1448.7,1450.69,1445.68,1448.185,1444.675,1462.1125,0.1472973019698287,2026-01,Wednesday
2026-01-08,1448.65,1451.5,1454.46,1447.26,1450.86,1446.212857142857,1461.592,0.18471396955499486,2026-01,Thursday
2026-01-09,1451.54,1458.41,1461.8,1451.03,1456.415,1447.9807142857142,1461.1670000000001,0.3828763629847076,2026-01,Friday
2026-01-12,1458.33,1466.87,1470.29,1457.83,1464.06,1450.767857142857,1461.0258333333334,0.5249190649643021,2026-01,Monday
2026-01-13,1466.87,1476.29,1477.73,1466.08,1471.905,1454.822857142857,1461.0986666666665,0.5358386951354488,2026-01,Tuesday
2026-01-14,1476.28,1462.67,1478.89,1460.68,1469.785,1458.1807142857142,1461.1821666666667,-0.1440310346116025,2026-01,Wednesday
2026-01-15,1462.69,1470.06,1473.37,1462.69,1468.03,1461.32,1461.1178333333335,-0.11940521913069713,2026-01,Thursday
2026-01-16,1470.05,1473.7,1475.85,1469.51,1472.68,1464.8192857142858,1461.1634999999999,0.31675102007453493,2026-01,Friday
2026-01-19,1473.69,1473.71,1476.55,1471.82,1474.185,1468.1514285714286,1461.3111666666666,0.10219463834639786,2026-01,Monday
2026-01-20,1473.7,1480.86,1481.11,1472.52,1476.815,1471.0657142857144,1461.5718333333332,0.17840366032757515,2026-01,Tuesday
2026-01-21,1480.8,1464.89,1480.8,1464.1,1472.45,1472.2642857142855,1461.7096666666666,-0.29556850384103717,2026-01,Wednesday
2026-01-22,1464.91,1464.16,1471.02,1462.86,1466.94,1471.555,1461.6328333333333,-0.3742062548813152,2026-01,Thursday
2026-01-23,1464.15,1446.27,1469.79,1443.53,1456.66,1469.68,1461.0114999999998,-0.7007784912811732,2026-01,Friday
2026-01-26,1446.45,1445.85,1449.36,1432.94,1441.15,1465.8400000000001,1460.0425,-1.0647645984649845,2026-01,Monday
2026-01-27,1445.86,1429.94,1451.85,1427.68,1439.765,1461.1378571428572,1458.9383333333333,-0.09610380598826795,2026-01,Tuesday
2026-01-28,1429.91,1430.37,1437.35,1419.16,1428.255,1454.5764285714286,1457.3178333333335,-0.7994360190725525,2026-01,Wednesday
2026-01-29,1430.37,1431.71,1439.24,1423.79,1431.515,1448.105,1455.8423333333335,0.22825055749848833,2026-01,Thursday
2026-01-30,1431.71,1450.8,1451.74,1429.87,1440.805,1443.5842857142857,1454.631666666667,0.6489628121256086,2026-01,Friday
2026-02-02,1450.24,1454.4,1464.86,1448.96,1456.91,1442.1514285714288,1453.9038333333333,1.1177779088773265,2026-02,Monday
2026-02-03,1454.4,1450.45,1454.42,1439.63,1447.025,1440.775,1452.7635,-0.6784907784283201,2026-02,Tuesday
2026-02-04,1450.45,1462.12,1462.12,1447.71,1454.915,1442.7414285714287,1452.5210000000002,0.5452566472590181,2026-02,Wednesday
2026-02-05,1462.11,1471.71,1471.73,1460.03,1465.88,1446.472142857143,1453.2333333333333,0.7536522752188413,2026-02,Thursday
2026-02-06,1471.72,1464.07,1474.71,1462.31,1468.51,1452.222857142857,1454.1361666666667,0.17941441318525264,2026-02,Friday
2026-02-09,1464.03,1457.84,1468.29,1454.59,1461.44,1456.4978571428571,1454.9893333333334,-0.4814403715330484,2026-02,Monday
2026-02-10,1457.83,1456.69,1462.8,1453.41,1458.105,1458.9692857142857,1455.5896666666667,-0.22819958397197748,2026-02,Tuesday
2026-02-11,1456.76,1445.75,1459.55,1442.99,1451.27,1458.1635714285715,1455.830666666667,-0.4687591085690057,2026-02,Wednesday
2026-02-12,1445.78,1440.28,1450.67,1432.86,1441.765,1457.412142857143,1455.7378333333334,-0.6549436011217713,2026-02,Thursday
2026-02-13,1440.27,1440.63,1448.55,1439.69,1444.12,1455.8700000000001,1455.7578333333333,0.16334145994665317,2026-02,Friday
2026-02-16,1440.88,1444.11,1445.01,1437.71,1441.36,1452.3671428571429,1455.5938333333331,-0.1911198515358814,2026-02,Monday
2026-02-17,1444.05,1444.0,1449.1,1440.41,1444.755,1448.9735714285714,1455.5505,0.23554143309099107,2026-02,Tuesday
2026-02-18,1444.05,1447.53,1452.43,1440.97,1446.7,1446.867857142857,1455.501,0.13462490179996234,2026-02,Wednesday
2026-02-19,1447.18,1449.45,1452.21,1441.26,1446.735,1445.2435714285714,1455.3635,0.002419299094480465,2026-02,Thursday
2026-02-20,1449.47,1444.84,1450.98,1443.82,1447.4,1444.6907142857142,1455.0629999999999,0.04596557075069452,2026-02,Friday
2026-02-23,1444.56,1444.17,1445.38,1439.85,1442.615,1444.8121428571428,1454.3481666666667,-0.3305927870664749,2026-02,Monday
2026-02-24,1444.17,1441.28,1447.12,1439.24,1443.18,1444.677857142857,1453.3906666666667,0.039164988579765136,2026-02,Tuesday
2026-02-25,1441.29,1425.79,1442.25,1425.52,1433.885,1443.6100000000001,1452.194,-0.6440638035449586,2026-02,Wednesday
2026-02-26,1425.84,1433.03,1437.56,1419.29,1428.425,1441.2771428571427,1450.8738333333333,-0.3807836751203886,2026-02,Thursday
2026-02-27,1432.98,1440.72,1445.04,1431.43,1438.235,1440.0678571428573,1449.7256666666665,0.6867703939653858,2026-02,Friday
2026-03-02,1441.67,1454.46,1471.74,1441.67,1456.705,1441.4921428571429,1449.143,1.2842129415568504,2026-03,Monday
2026-03-03,1454.42,1479.28,1508.03,1453.29,1480.66,1446.2435714285714,1449.2711666666667,1.6444647337656049,2026-03,Tuesday
2026-03-04,1479.28,1462.61,1483.6,1457.52,1470.56,1450.2357142857145,1449.2081666666668,-0.6821282401091477,2026-03,Wednesday
2026-03-05,1462.6,1482.16,1490.45,1456.37,1473.41,1454.554285714286,1449.4238333333333,0.19380372103146026,2026-03,Thursday
2026-03-06,1482.13,1484.45,1495.54,1467.66,1481.6,1461.3707142857143,1450.2551666666668,0.5558534284414884,2026-03,Friday
